,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,Linear,RandomForest,GBR,DecisionTree,XGB
5241,-118.39,34.12,29,6447,1012.0,2184,960,8.2816,500001,<1H OCEAN,420456.59,477948.49,505182.63,482488.25,502808.0
17352,-120.42,34.89,24,2020,307.0,855,283,5.0099,162500,<1H OCEAN,293632.55,207671.01,238589.33,255593.96,207752.3
3505,-118.45,34.25,36,1453,270.0,808,275,4.3839,204600,<1H OCEAN,247385.19,216711.0,231877.96,226591.39,200767.91
7777,-118.1,33.91,35,1653,325.0,1072,301,3.2708,159700,<1H OCEAN,196964.78,223106.0,170735.49,217782.32,170018.72
14155,-117.07,32.77,38,3779,614.0,1495,614,4.3529,184000,NEAR OCEAN,264855.1,196141.0,204713.04,176381.48,194300.39
7057,-118.04,33.93,35,1805,387.0,1505,366,4.1667,151900,<1H OCEAN,222242.8,166750.0,192327.2,190356.46,180890.22
33,-122.27,37.83,49,1655,366.0,754,329,1.375,104900,NEAR BAY,160675.48,173314.02,158575.99,134641.56,145001.08
17049,-122.26,37.46,26,5067,750.0,1996,728,7.0001,500001,NEAR OCEAN,367121.2,439360.23,403762.99,461600.5,430009.28
18164,-122.03,37.36,16,2697,803.0,1369,723,4.4699,367400,<1H OCEAN,285962.79,250845.0,276395.21,255593.96,230136.77
10444,-117.61,33.43,24,2303,399.0,851,379,3.9875,346500,NEAR OCEAN,231801.45,249326.05,249329.35,236830.79,269542.78
4652,-118.32,34.06,36,3239,722.0,1383,612,4.5918,337000,<1H OCEAN,282087.37,456151.58,306813.15,398106.31,358752.0
16294,-121.23,37.96,44,2204,473.0,1277,435,1.5539,59200,INLAND,88951.78,67516.0,79971.97,74278.15,67928.81
16531,-121.2,37.81,26,395,74.0,193,72,7.3718,212500,INLAND,295943.49,273326.0,299367.8,243737.5,266410.06
18029,-121.91,37.24,24,5046,1001.0,2449,968,4.7118,274600,<1H OCEAN,284940.53,266852.0,275841.68,255593.96,272340.38
3492,-118.48,34.28,35,2132,368.0,1128,341,5.3107,227100,<1H OCEAN,279255.57,249138.0,271341.03,259418.32,258624.58
13279,-117.65,34.1,44,1526,337.0,831,326,3.0284,115800,INLAND,152622.59,148648.0,135234.73,116860.0,148015.31
1108,-121.59,39.82,12,1958,369.0,875,354,2.3507,97600,INLAND,50874.91,92916.0,88207.65,91865.08,101878.38
2839,-118.97,35.41,36,1896,315.0,937,303,3.996,85500,INLAND,174997.87,97171.0,105445.46,99795.45,94318.66
7888,-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,337400,<1H OCEAN,286180.05,350772.09,309899.96,397945.73,331015.16
8658,-118.39,33.85,24,4373,871.0,1830,824,5.7128,366200,<1H OCEAN,323912.26,395328.32,349229.89,294855.1,409281.09
11441,-117.98,33.73,18,3833,,2192,996,3.4679,219700,<1H OCEAN,194335.89,196343.0,207459.07,190356.46,204396.92
8780,-118.32,33.79,35,2924,658.0,1675,602,3.8287,279900,<1H OCEAN,243619.55,316513.0,242900.15,274732.69,295269.28
17314,-120.27,34.72,14,1289,277.0,693,237,3.2569,230800,<1H OCEAN,218129.81,203216.0,197283.26,208552.89,184407.55
3216,-119.65,36.33,52,1257,257.0,624,243,2.3523,59100,INLAND,128602.02,66720.0,88508.88,71933.33,75943.35
2202,-119.86,36.82,12,1488,253.0,675,223,4.7622,89300,INLAND,168275.44,111739.0,149357.0,146129.41,124387.78
3072,-119.23,35.78,8,1612,343.0,1230,330,2.1806,67200,INLAND,65071.31,63487.0,48328.13,59816.16,61010.91
5878,-118.35,34.16,45,1390,281.0,538,270,4.2212,293800,<1H OCEAN,260948.26,238346.0,284175.9,226591.39,262448.66
19452,-120.94,37.68,4,13315,2424.0,6420,2289,4.2471,162100,INLAND,175571.13,172452.0,160011.18,163773.72,166373.02
3009,-118.99,35.24,40,282,59.0,213,71,2.35,91700,INLAND,119589.11,75092.0,86501.46,61130.23,82378.62
19612,-121.11,37.47,12,2263,410.0,913,330,3.5795,145600,INLAND,144383.1,140538.0,153544.31,127012.72,156317.86
6493,-118.02,34.08,28,2769,631.0,2452,581,2.6071,175900,INLAND,101904.74,196587.0,137653.47,220471.43,176321.84
10072,-120.17,39.33,10,614,141.0,195,95,0.9283,116300,INLAND,-35060.04,98791.0,81186.88,70275.0,107097.0
5055,-118.35,34.02,34,3978,1073.0,2725,1035,1.7622,167900,<1H OCEAN,171649.73,286980.01,265383.08,219795.75,239758.02
9472,-123.34,39.5,15,2342,535.0,1064,433,1.8967,96600,INLAND,98761.75,82471.0,68986.4,75941.67,76808.96
19749,-122.24,40.18,39,2191,493.0,1307,499,1.6483,60800,INLAND,62389.87,59478.0,64810.53,59333.33,56685.76
18159,-122.03,37.36,28,2490,345.0,948,361,6.4913,411900,<1H OCEAN,338613.38,386036.11,382622.01,366783.25,391697.06
14778,-117.09,32.58,12,2565,567.0,1785,545,3.0273,135300,NEAR OCEAN,176501.26,153011.0,135808.53,156833.33,152972.2
5859,-118.33,34.18,45,1552,315.0,785,316,3.7411,235500,<1H OCEAN,236852.47,202324.0,226320.34,208552.89,211650.77
12578,-121.44,38.53,37,1951,432.0,1089,411,2.3272,80600,INLAND,106316.52,94860.0,97546.0,104911.48,88164.55
17231,-119.7,34.43,35,1402,369.0,654,385,2.6205,318800,<1H OCEAN,225799.81,311103.1,236013.96,207895.74,278045.34
13952,-117.15,34.22,10,1039,174.0,317,109,7.2371,171900,INLAND,259269.15,243824.0,258822.28,193228.57,277031.16
8607,-118.37,33.87,18,2516,485.0,1128,433,5.0114,338600,<1H OCEAN,269169.43,374034.05,341145.73,378980.96,352702.0
11667,-118.01,33.85,29,3061,612.0,2396,640,4.6326,195200,<1H OCEAN,231593.5,206837.0,213200.48,190356.46,205388.89
1819,-122.32,37.94,47,1911,283.0,697,275,6.2712,267700,NEAR BAY,340827.75,352900.09,330181.76,277457.14,285029.59
10086,-117.96,33.94,34,2228,399.0,1159,378,4.8906,228900,<1H OCEAN,259696.43,207409.0,224316.12,190356.46,239519.47
6355,-117.96,34.14,33,1994,405.0,993,403,3.766,163900,INLAND,178829.44,194349.0,173255.2,158813.79,200923.8
11995,-117.55,34.0,17,3583,700.0,1587,719,2.6979,75000,INLAND,125655.38,117783.0,116675.61,139760.0,138252.72
480,-122.28,37.86,41,2214,550.0,1213,568,2.2845,153100,NEAR BAY,197118.37,146342.0,165698.32,134641.56,143096.44
13446,-117.43,34.07,18,2453,537.0,1503,500,2.3768,95300,INLAND,90769.08,113671.0,95039.09,110008.7,105254.39
15364,-117.21,33.34,10,5294,817.0,2312,810,5.4563,325700,<1H OCEAN,254227.64,319619.03,251758.39,260198.65,268814.47
9532,-120.68,37.47,33,1028,226.0,658,197,2.3043,66300,INLAND,98785.16,101071.0,98053.68,87426.47,95464.27
3325,-122.83,38.96,15,1318,296.0,567,276,1.8692,93800,INLAND,93508.68,85187.0,90351.18,98588.89,89651.23
17164,-122.22,37.37,26,440,202.0,322,218,5.1831,350000,NEAR OCEAN,305630.86,405421.27,301156.95,423066.94,337943.25
15608,-116.87,32.75,15,2053,321.0,993,309,5.5164,248900,<1H OCEAN,261757.08,223355.0,204345.03,230077.78,182933.56
8793,-118.39,33.79,30,4402,563.0,1582,551,10.898,500001,NEAR OCEAN,508315.62,500001.0,527000.96,499760.87,495845.38
14289,-117.13,32.74,46,3355,768.0,1457,708,2.6604,170100,NEAR OCEAN,229551.29,261680.0,211003.36,319600.0,220777.89
16009,-122.45,37.74,38,5688,930.0,2263,908,6.203,346800,NEAR BAY,351167.31,449626.46,460707.89,455969.62,452530.16
19068,-122.47,38.29,14,3732,846.0,1277,775,2.5658,208000,NEAR BAY,198379.17,197764.0,225222.47,194062.5,206212.38
9358,-122.54,37.95,38,2310,400.0,971,386,5.697,435700,NEAR BAY,317965.44,399506.07,351109.08,416568.18,377088.94
19361,-123.1,38.79,20,3109,712.0,1643,638,2.8344,164400,<1H OCEAN,194277.82,137220.0,162954.95,161993.55,131545.39
14773,-117.07,32.56,9,3648,895.0,3293,840,3.0992,142600,NEAR OCEAN,158859.14,139921.0,156419.18,144195.83,131075.17
5248,-118.43,34.08,46,778,90.0,238,93,15.0001,500001,<1H OCEAN,677547.55,500001.0,499680.75,499760.87,514707.66
18522,-122.05,36.97,16,3363,611.0,1603,556,4.2542,294100,NEAR OCEAN,255652.5,267677.02,269718.66,255593.96,232835.14
17037,-122.25,37.49,43,2607,477.0,1225,461,4.224,349600,NEAR OCEAN,277350.34,337430.01,284270.65,255593.96,301250.94
5950,-117.87,34.14,30,2495,586.0,1139,559,2.9375,209200,INLAND,156244.3,160011.0,162457.92,168080.0,178100.03
4505,-118.2,34.05,42,1703,586.0,2490,581,2.02,147200,<1H OCEAN,139603.47,179970.0,154850.33,187412.12,144770.06
16210,-121.32,37.94,36,40,10.0,64,14,2.625,55000,INLAND,118302.59,108379.0,110978.76,103989.47,90019.9
1940,-120.96,38.66,11,2339,436.0,1062,380,3.9036,180800,INLAND,121324.21,177638.0,146911.66,146201.42,172778.09
17373,-120.43,34.96,24,2739,414.0,1171,413,4.8155,162900,<1H OCEAN,286157.77,224362.01,236373.34,255593.96,196656.77
409,-122.28,37.9,52,2003,250.0,658,244,10.0825,397000,NEAR BAY,492427.88,496928.96,427140.84,499760.87,422288.38
18625,-122.0,37.08,17,4154,739.0,2149,693,5.5919,373400,NEAR OCEAN,299943.87,306950.01,307128.34,315228.88,294480.12
8688,-118.34,33.87,34,1069,217.0,601,212,4.6406,255900,<1H OCEAN,263263.42,281201.01,277864.39,317937.58,294394.78
3899,-118.52,34.21,36,1328,287.0,823,273,4.5648,193700,<1H OCEAN,258319.91,213078.01,241285.96,226591.39,223603.09
4178,-118.22,34.09,42,1706,488.0,1941,447,2.5213,149700,<1H OCEAN,162878.47,183726.0,164881.5,230800.0,155095.7
4366,-118.27,34.1,51,3149,519.0,1082,510,6.4459,421600,<1H OCEAN,359529.53,472089.55,421088.57,499823.11,454311.0
13395,-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,174800,INLAND,192880.3,173064.0,219155.4,213869.7,188418.7
4429,-118.22,34.08,31,394,117.0,573,131,1.8173,154200,<1H OCEAN,132251.37,182268.0,157384.53,187412.12,136650.27
18584,-121.78,36.93,21,2794,662.0,2236,565,2.4053,178400,<1H OCEAN,161992.8,171528.0,176873.93,219795.75,165830.97
15301,-117.36,33.18,39,1546,291.0,833,308,2.8893,185400,NEAR OCEAN,196448.86,218971.0,198006.34,148995.65,164962.23
2927,-119.01,35.36,24,1941,484.0,1277,435,1.056,51600,INLAND,56833.11,58063.0,61747.26,59816.16,50882.25
5966,-117.81,34.11,21,3481,808.0,1866,746,3.6201,150400,INLAND,169565.23,182469.0,178130.8,188063.64,183467.72
7129,-118.1,34.02,33,1143,172.0,508,174,4.9107,279900,<1H OCEAN,260033.37,225680.0,249699.5,217782.32,255843.88
15162,-117.03,32.96,16,3424,698.0,1940,645,4.121,182100,<1H OCEAN,215262.07,184058.0,177078.75,161297.89,169659.84
2520,-122.23,39.75,16,2026,396.0,1031,382,1.9375,73100,INLAND,55482.55,81344.0,66855.04,75941.67,83278.22
18627,-121.96,37.1,20,922,155.0,361,135,6.3617,331500,<1H OCEAN,329159.73,307292.0,318000.73,285827.16,323454.75
10005,-121.06,39.04,15,1999,287.0,585,246,5.5161,361900,INLAND,181485.48,193883.0,207910.22,128660.0,229930.83
6826,-118.1,34.09,46,2822,525.0,1434,520,3.8906,238300,<1H OCEAN,239201.19,261429.02,226852.75,267529.6,250138.16
8354,-118.32,33.95,44,2131,360.0,1040,330,5.0912,169800,<1H OCEAN,286485.32,241411.01,293109.06,387768.04,248305.58
17149,-122.21,37.44,35,1140,193.0,486,199,4.6908,500001,NEAR OCEAN,283114.47,316391.03,289286.08,255593.96,291424.84
